Skill / pot,#,Player,Age,Team,ETV
69.7,117,Senegal,26,Everton,€42.5M
72.7,,"Iliman NdiayeF (R), M (RL)",,,
78,118,Spain,27,Chelsea,€42.2M
78.5,,Marc CucurellaD (L),,,
77.4,119,Netherlands,23,Brighton,€42M
85.3,,Bart VerbruggenGK,,,
80.2,120,England,28,Arsenal,€42M
80.4,,Ben WhiteD (R),,,
75.7,121,Spain,29,Arsenal,€41.7M
75.7,,"Mikel MerinoM, F (C)",,,
76.7,122,France,25,C. Palace,€41.7M
81.5,,Maxence LacroixD (C),,,
75.2,123,France,23,Brighton,€41.7M
82.6,,"Georginio RutterF, M, AM (C)",,,
79.1,124,Netherlands,26,B'mouth,€40.8M
80,,"Justin KluivertM, AM (C)",,,
78.1,125,England,25,N. Forest,€40.3M
82.7,,"Callum Hudson-OdoiF, M (L)",,,
,126,France,26,Liverpool,€39.9M
78.9,,Ibrahima KonatéD (C),,,
80.6,,,,,
75,127,England,23,Man City,€39.7M
83.3,,James TraffordGK,,,
75.7,128,United States,28,Fulham,€39.1M
75.7,,Antonee RobinsonD (L),,,
75.6,129,England,22,A. Villa,€39.1M
84,,"Harvey ElliottM (C), F (R)",,,
77,130,Sweden,22,Brighton,€39M
87.6,,"Yasin AyariM, DM (C)",,,
68.7,131,Northern Ireland,22,Liverpool,€38.9M
77,,"Conor BradleyD, M (R)",,,
77.8,132,Italy,21,Brentford,€38.9M
89.7,,Michael KayodeD (R),,,
72.2,133,France,28,C. Palace,€38.7M
74.7,,Jean-Philippe MatetaF (C),,,
58.8,134,Norway,22,Fulham,€38.6M
67.4,,"Oscar Bobb F (R), M (CR)",,,
75.8,135,Portugal,26,Man Utd,€38.5M
75.8,,"Diogo DalotD (R), M (RL)",,,
77.1,136,Belgium,28,A. Villa,€38.4M
77.1,,"Youri TielemansM, DM (C)",,,
76.3,137,Netherlands,25,Brighton,€38.2M
78.9,,Jan Paul van HeckeD (C),,,
70.8,138,Denmark,21,Man Utd,€38.1M
83.2,,"Patrick DorguD, M (L)",,,
73.4,139,Ukraine,25,Chelsea,€37.8M
79.7,,"Mykhaylo MudrykF, M (L)",,,
73.4,140,Brazil,24,Wolves,€37.7M
78.4,,"AndréDM, M (C)",,,
71.1,141,Serbia,26,B'mouth,€37.6M
74.8,,Djordje PetrovicGK,,,
76.7,142,Denmark,25,Brentford,€37.6M
80.1,,"Mikkel DamsgaardAM, M (C)",,,
73.5,143,Burkina Faso,24,Brentford,€37M
80.4,,"Dango OuattaraF (R), M (RL)",,,
68.5,144,Brazil,23,Fulham,€36.9M
73.6,,"KevinF, M (L)",,,
74.1,145,Netherlands,24,Brentford,€36.9M
80.8,,Sepp van den BergD (C),,,
79.5,146,England,28,A. Villa,€36.3M
79.5,,Ezri KonsaD (C),,,
78.1,147,France,22,Chelsea,€36.2M
88.6,,Malo GustoD (R),,,
73.8,148,Argentina,28,Man Utd,€36.1M
73.8,,Lisandro MartínezD (CL),,,
70.2,149,Senegal,21,West Ham,€35.8M
80.1,,"El Hadji Malick DioufD, M (L)",,,
71.1,150,Germany,24,Newcastle,€35.7M
79.5,,Malick ThiawD (C),,,
75.1,151,France,27,Tottenham,€35.5M
75.9,,Randal Kolo MuaniF (C),,,
77.6,152,Brazil,29,Newcastle,€35M
77.6,,JoelintonM (C),,,
77.9,153,Spain,29,A. Villa,€34.7M
77.9,,Pau TorresD (C),,,
71.2,154,Nigeria,26,Fulham,€34.4M
75.1,,Calvin BasseyD (C),,,
75.2,155,Nigeria,29,Fulham,€34.3M
75.2,,"Alex IwobiM (CL), DM (C)",,,
72.1,156,England,27,Man Utd,€33.7M
72.1,,"Mason MountAM, M (C)",,,
72.9,157,England,21,Newcastle,€33.6M
87,,Lewis HallD (L),,,
70,158,Italy,29,Tottenham,€33.5M
71.9,,Guglielmo VicarioGK,,,
77.8,159,Serbia,28,N. Forest,€33.5M
77.8,,Nikola Milenkovi?D (C),,,
71.9,160,Portugal,30,Tottenham,€32.9M
72.4,,"João PalhinhaDM, M (C)",,,
65.7,161,Italy,25,N. Forest,€32.7M
69.2,,Lorenzo LuccaF (C),,,
70.1,162,England,27,Everton,€32.5M
70.3,,"Kiernan Dewsbury-HallM, DM, AM (C)",,,
77.4,163,Netherlands,24,A. Villa,€32.2M
83.7,,Ian MaatsenD (L),,,
69.9,164,Cote d'Ivoire,24,C. Palace,€31.8M
73.9,,"Evann GuessandF (CR), M (R)",,,
66.8,165,France,19,C. Palace,€30.7M
82.6,,Jaydee CanvotD (R),,,
66.5,166,England,19,Newcastle,€30.6M
82.9,,Lewis MileyM (C),,,
79.1,167,Brazil,26,B'mouth,€30.6M
79.5,,EvanilsonF (C),,,
63.6,168,Italy,19,Liverpool,€30.5M
79.5,,Giovanni LeoniD (CR),,,
78,169,Japan,28,Brighton,€30.3M
78,,"Kaoru MitomaF, M (L)",,,
72.5,170,England,22,B'mouth,€30.2M
82.2,,"Alex ScottM, DM (C)",,,
75.3,171,Ireland,24,Brentford,€30.2M
81.3,,Nathan CollinsD (C),,,
76.9,172,Ukraine,26,Everton,€30.1M
79.2,,Vitaliy MykolenkoD (L),,,
56.7,173,Greece,18,Brighton,€29.8M
75.1,,"Charalampos KostoulasF, M (C)",,,
76.8,174,France,23,Everton,€29.5M
85,,Thierno BarryF (C),,,
78.2,175,England,25,Everton,€29.5M
84.1,,James GarnerDM (C),,,
67,176,Portugal,20,Chelsea,€29.4M
82.5,,"Dário EssugoDM, M (C)",,,
74,177,Ukraine,22,Brentford,€29.4M
86.5,,"Yegor YarmolyukM, DM (C)",,,
79.2,178,England,26,C. Palace,€29.2M
