player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Pedro Porro,pedro porro,,,0,,,Premier League,44118000.0,44118000.0,
João Gomes,joão gomes,,,0,,,Premier League,43860000.0,43860000.0,
Anthony Gordon,anthony gordon,,,0,,,Premier League,43602000.0,43602000.0,
Riccardo Calafiori,riccardo calafiori,,,0,,,Premier League,43602000.0,43602000.0,
Andrey Santos,andrey santos,,,0,,,Premier League,43086000.0,43086000.0,
Mathys Tel,mathys tel,,,0,,,Premier League,42742000.0,42742000.0,
Tyler Dibling,tyler dibling,,,0,,,Premier League,42742000.0,42742000.0,
Amad Diallo,amad diallo,,,0,,,Premier League,42570000.0,42570000.0,
Mohamed Salah,mohamed salah,,,0,,,Premier League,42226000.0,42226000.0,
Curtis Jones,curtis jones,,,0,,,Premier League,42140000.0,42140000.0,
Gabriel Martinelli,gabriel martinelli,,,0,,,Premier League,41968000.0,41968000.0,
Reece James,reece james,,,0,,,Premier League,41968000.0,41968000.0,
Liam Delap,liam delap,,,0,,,Premier League,41624000.0,41624000.0,
Dan Ndoye,dan ndoye,,,0,,,Premier League,41538000.0,41538000.0,
Amadou Onana,amadou onana,,,0,,,Premier League,41452000.0,41452000.0,
Kevin Schade,kevin schade,,,0,,,Premier League,41280000.0,41280000.0,
Rayan Aït-Nouri,rayan aït-nouri,,,0,,,Premier League,41194000.0,41194000.0,
Elliot Anderson,elliot anderson,,,0,,,Premier League,41022000.0,41022000.0,
Jørgen Strand Larsen,jørgen strand larsen,,,0,,,Premier League,40592000.0,40592000.0,
Anthony Elanga,anthony elanga,,,0,,,Premier League,40420000.0,40420000.0,
Matheus Nunes,matheus nunes,,,0,,,Premier League,40076000.0,40076000.0,
James Maddison,james maddison,,,0,,,Premier League,39646000.0,39646000.0,
Trevoh Chalobah,trevoh chalobah,,,0,,,Premier League,39560000.0,39560000.0,
Nico O'Reilly,nico o'reilly,,,0,,,Premier League,39302000.0,39302000.0,
Yéremy Pino,yéremy pino,,,0,,,Premier League,39302000.0,39302000.0,
Matthijs de Ligt,matthijs de ligt,,,0,,,Premier League,38958000.0,38958000.0,
Brennan Johnson,brennan johnson,,,0,,,Premier League,38872000.0,38872000.0,
Roméo Lavia,roméo lavia,,,0,,,Premier League,38614000.0,38614000.0,
Dominic Solanke,dominic solanke,,,0,,,Premier League,38528000.0,38528000.0,
Abdukodir Khusanov,abdukodir khusanov,,,0,,,Premier League,38356000.0,38356000.0,
Pape Matar Sarr,pape matar sarr,,,0,,,Premier League,38270000.0,38270000.0,
Jacob Ramsey,jacob ramsey,,,0,,,Premier League,38098000.0,38098000.0,
Bafodé Diakité,bafodé diakité,,,0,,,Premier League,37926000.0,37926000.0,
Conor Gallagher,conor gallagher,,,0,,,Premier League,37496000.0,37496000.0,
Habib Diarra,habib diarra,,,0,,,Premier League,37410000.0,37410000.0,
Djed Spence,djed spence,,,0,,,Premier League,37238000.0,37238000.0,
Dilane Bakwa,dilane bakwa,,,0,,,Premier League,37152000.0,37152000.0,
Gianluigi Donnarumma,gianluigi donnarumma,,,0,,,Premier League,36894000.0,36894000.0,
Harvey Barnes,harvey barnes,,,0,,,Premier League,36808000.0,36808000.0,
Ismaïla Sarr,ismaïla sarr,,,0,,,Premier League,36808000.0,36808000.0,
