player_name,age,position,position_group,club_name,league_name,trajectory,normalized_name,normalized_club,current_value_gbp,peak_value_gbp
Micky van de Ven,36,€65.00m,Other,Netherlands,Premier League,rising_star,micky van de ven,netherlands,55900000.0,55900000.0
Morgan Gibbs-White,35,€65.00m,Other,England,Premier League,growing,morgan gibbs-white,england,55900000.0,55900000.0
Omar Marmoush,32,€65.00m,Other,Egypt,Premier League,growing,omar marmoush,egypt,55900000.0,64500000.0
Tijjani Reijnders,33,€65.00m,Other,Netherlands,Premier League,growing,tijjani reijnders,netherlands,55900000.0,60200000.0
Adam Wharton,39,€60.00m,Other,England,Premier League,growing,adam wharton,england,51600000.0,51600000.0
Anthony Gordon,44,€60.00m,Other,England,Premier League,growing,anthony gordon,england,51600000.0,55900000.0
Benjamin Sesko,45,€60.00m,Other,Slovenia,Premier League,growing,benjamin sesko,slovenia,51600000.0,60200000.0
Carlos Baleba,40,€60.00m,Other,Cameroon,Premier League,growing,carlos baleba,cameroon,51600000.0,51600000.0
Cristian Romero,27,€60.00m,Other,Argentina,Premier League,growing,cristian romero,argentina,51600000.0,55900000.0
Elliot Anderson,42,€60.00m,Other,England,Premier League,rising_star,elliot anderson,england,51600000.0,51600000.0
Pedro Neto,41,€60.00m,Other,Portugal,Premier League,rising_star,pedro neto,portugal,51600000.0,51600000.0
Rúben Dias,38,€60.00m,Other,Portugal,Premier League,stable,rúben dias,portugal,51600000.0,68800000.0
Xavi Simons,43,€60.00m,Other,Netherlands,Premier League,stable,xavi simons,netherlands,51600000.0,68800000.0
Kai Havertz,26,€55.00m,Other,Germany,Premier League,declining,kai havertz,germany,47300000.0,77400000.0
Leny Yoro,20,€55.00m,Other,France,Premier League,growing,leny yoro,france,47300000.0,47300000.0
Marc Guéhi,25,€55.00m,Other,England,Premier League,rising_star,marc guéhi,england,47300000.0,47300000.0
Mohammed Kudus,25,€55.00m,Other,Ghana,Premier League,growing,mohammed kudus,ghana,47300000.0,47300000.0
Murillo,23,€55.00m,Other,Brazil,Premier League,growing,murillo,brazil,47300000.0,47300000.0
Amad Diallo,23,€50.00m,Other,Cote d'Ivoire,Premier League,rising_star,amad diallo,cote d'ivoire,43000000.0,43000000.0
Anthony Elanga,23,€50.00m,Other,Sweden,Premier League,growing,anthony elanga,sweden,43000000.0,47300000.0
Ibrahima Konaté,26,€50.00m,Other,France,Premier League,growing,ibrahima konaté,france,43000000.0,51600000.0
Levi Colwill,22,€50.00m,Other,England,Premier League,growing,levi colwill,england,43000000.0,47300000.0
Marc Cucurella,27,€50.00m,Other,Spain,Premier League,growing,marc cucurella,spain,43000000.0,47300000.0
Noni Madueke,23,€50.00m,Other,England,Premier League,growing,noni madueke,england,43000000.0,43000000.0
Piero Hincapié,24,€50.00m,Other,Ecuador,Premier League,growing,piero hincapié,ecuador,43000000.0,43000000.0
Rayan Cherki,22,€50.00m,Other,France,Premier League,rising_star,rayan cherki,france,43000000.0,43000000.0
Reece James,26,€50.00m,Other,England,Premier League,stable,reece james,england,43000000.0,60200000.0
Riccardo Calafiori,23,€50.00m,Other,Italy,Premier League,rising_star,riccardo calafiori,italy,43000000.0,43000000.0
Alejandro Garnacho,21,€45.00m,Other,Argentina,Premier League,growing,alejandro garnacho,argentina,38700000.0,43000000.0
Dejan Kulusevski,25,€45.00m,Other,Sweden,Premier League,stable,dejan kulusevski,sweden,38700000.0,51600000.0
Gabriel Martinelli,24,€45.00m,Other,Brazil,Premier League,declining,gabriel martinelli,brazil,38700000.0,73100000.0
Gianluigi Donnarumma,26,€45.00m,Other,Italy,Premier League,declining,gianluigi donnarumma,italy,38700000.0,55900000.0
Iliman Ndiaye,25,€45.00m,Other,Senegal,Premier League,rising_star,iliman ndiaye,senegal,38700000.0,38700000.0
Jarrad Branthwaite,23,€45.00m,Other,England,Premier League,growing,jarrad branthwaite,england,38700000.0,43000000.0
Nico González,24,€45.00m,Other,Spain,Premier League,rising_star,nico gonzález,spain,38700000.0,38700000.0
Savinho,21,€45.00m,Other,Brazil,Premier League,growing,savinho,brazil,38700000.0,47300000.0
Amadou Onana,24,€42.00m,Other,Belgium,Premier League,stable,amadou onana,belgium,36120000.0,47300000.0
Andrey Santos,21,€40.00m,Other,Brazil,Premier League,rising_star,andrey santos,brazil,34400000.0,34400000.0
Boubacar Kamara,26,€40.00m,Other,France,Premier League,growing,boubacar kamara,france,34400000.0,34400000.0
Bruno Fernandes,31,€40.00m,Other,Portugal,Premier League,declining,bruno fernandes,portugal,34400000.0,77400000.0
Curtis Jones,25,€40.00m,Other,England,Premier League,stable,curtis jones,england,34400000.0,43000000.0
Dan Ndoye,25,€40.00m,Other,Switzerland,Premier League,growing,dan ndoye,switzerland,34400000.0,34400000.0
Destiny Udogie,23,€40.00m,Other,Italy,Premier League,growing,destiny udogie,italy,34400000.0,38700000.0
Evanilson,26,€40.00m,Other,Brazil,Premier League,growing,evanilson,brazil,34400000.0,34400000.0
Jamie Gittens,21,€40.00m,Other,England,Premier League,stable,jamie gittens,england,34400000.0,43000000.0
Jean-Philippe Mateta,28,€40.00m,Other,France,Premier League,rising_star,jean-philippe mateta,france,34400000.0,34400000.0
João Gomes,25,€40.00m,Other,Brazil,Premier League,growing,joão gomes,brazil,34400000.0,34400000.0
Jørgen Strand Larsen,26,€40.00m,Other,Norway,Premier League,growing,jørgen strand larsen,norway,34400000.0,34400000.0
Kobbie Mainoo,20,€40.00m,Other,England,Premier League,stable,kobbie mainoo,england,34400000.0,47300000.0
Lucas Bergvall,20,€40.00m,Other,Sweden,Premier League,growing,lucas bergvall,sweden,34400000.0,34400000.0
Malick Thiaw,24,€40.00m,Other,Germany,Premier League,rising_star,malick thiaw,germany,34400000.0,34400000.0
Matthijs de Ligt,26,€40.00m,Other,Netherlands,Premier League,declining,matthijs de ligt,netherlands,34400000.0,64500000.0
Milos Kerkez,22,€40.00m,Other,Hungary,Premier League,growing,milos kerkez,hungary,34400000.0,38700000.0
Myles Lewis-Skelly,19,€40.00m,Other,England,Premier League,growing,myles lewis-skelly,england,34400000.0,38700000.0
Nico O'Reilly,20,€40.00m,Other,England,Premier League,rising_star,nico o'reilly,england,34400000.0,34400000.0
Pedro Porro,26,€40.00m,Other,Spain,Premier League,growing,pedro porro,spain,34400000.0,38700000.0
Rayan Aït-Nouri,24,€40.00m,Other,Algeria,Premier League,growing,rayan aït-nouri,algeria,34400000.0,34400000.0
Tino Livramento,23,€40.00m,Other,England,Premier League,growing,tino livramento,england,34400000.0,34400000.0
Yankuba Minteh,21,€40.00m,Other,The Gambia,Premier League,rising_star,yankuba minteh,the gambia,34400000.0,34400000.0
Jeremie Frimpong,25,€38.00m,Other,Netherlands,Premier League,stable,jeremie frimpong,netherlands,32680000.0,43000000.0
Matheus Nunes,27,€38.00m,Other,Portugal,Premier League,declining,matheus nunes,portugal,32680000.0,47300000.0
Abdukodir Khusanov,21,€35.00m,Other,Uzbekistan,Premier League,growing,abdukodir khusanov,uzbekistan,30100000.0,30100000.0
Ezri Konsa,28,€35.00m,Other,England,Premier League,growing,ezri konsa,england,30100000.0,30100000.0
Liam Delap,23,€35.00m,Other,England,Premier League,growing,liam delap,england,30100000.0,34400000.0
Malo Gusto,22,€35.00m,Other,France,Premier League,growing,malo gusto,france,30100000.0,30100000.0
Trevoh Chalobah,26,€35.00m,Other,England,Premier League,rising_star,trevoh chalobah,england,30100000.0,30100000.0
Yoane Wissa,29,€35.00m,Other,DR Congo,Premier League,growing,yoane wissa,dr congo,30100000.0,36120000.0
Lorenzo Lucca,0,€25.00m,Other,Nottingham Forest,Premier League,growing,lorenzo lucca,nottingham forest,21500000.0,25800000.0
Taty Castellanos,0,€25.00m,Other,West Ham United,Premier League,growing,taty castellanos,west ham united,21500000.0,21500000.0
Leon Bailey,0,€18.00m,Other,Aston Villa,Premier League,falling_sharply,leon bailey,aston villa,15480000.0,38700000.0
