player_name,club_name,position_name,minutes,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,yellow_cards,red_cards,bonus
William Osula,Newcastle,FWD,267,30,1.9,2,1,1,6,0,13,0,0,2
Alexander Isak,Liverpool,FWD,501,29,2.9,2,1,1,7,0,23,0,0,2
Valentín Taty,West Ham,FWD,742,28,3.1,2,1,4,11,0,35,2,0,1
Chris Wood,Nott'm Forest,FWD,538,25,3.1,2,0,1,8,0,14,0,0,3
Eddie Nketiah,Crystal Palace,FWD,414,23,1.9,2,0,0,12,0,38,2,0,3
Rodrigo Muniz,Fulham,FWD,465,22,1.8,1,1,1,8,0,27,1,0,3
Enes Enes Ünal,Bournemouth,FWD,170,20,1.2,1,0,0,2,0,12,1,0,1
Yoane Wissa,Newcastle,FWD,421,19,1.6,1,0,1,8,0,18,1,0,0
Gabriel G.Jesus,Arsenal,FWD,304,17,1.5,2,0,0,6,0,26,2,0,0
Christantus Uche,Crystal Palace,FWD,159,17,1.2,0,1,0,4,0,13,0,0,0
Stefanos Tzimas,Brighton,FWD,132,16,1.8,1,1,0,2,0,15,0,0,0
Adam Armstrong,Wolves,FWD,481,15,2.5,0,2,3,5,0,22,2,0,0
Taiwo Awoniyi,Nott'm Forest,FWD,222,15,1.5,1,0,0,2,0,13,0,0,1
Joël Piroe,Leeds,FWD,215,14,1.1,0,0,1,7,0,11,0,0,0
Tammy Abraham,Aston Villa,FWD,163,13,2.2,1,0,0,2,0,6,0,0,2
Niclas Füllkrug,West Ham,FWD,407,12,1.5,0,0,1,11,0,19,0,0,0
Marc Marc Guiu,Chelsea,FWD,247,12,1.3,0,1,0,2,0,7,1,0,0
Kai Havertz,Arsenal,FWD,201,10,2.0,0,1,2,0,0,14,0,0,0
Arnaud Kalimuendo,Nott'm Forest,FWD,89,9,1.0,0,0,0,3,0,6,0,0,0
Pablo Felipe Pablo,West Ham,FWD,250,8,1.6,0,0,0,4,0,25,0,0,0
Lorenzo Lucca,Nott'm Forest,FWD,119,8,2.7,1,0,1,1,0,5,0,0,0
Jonah Kusi-Asare,Fulham,FWD,30,4,0.8,0,0,0,2,0,2,1,0,0
Ashley Barnes,Burnley,FWD,23,4,1.0,0,0,0,2,0,2,1,0,0
Callum Marshall,West Ham,FWD,58,2,1.0,0,0,0,2,0,3,0,0,0
Dane Scarlett,Spurs,FWD,7,2,1.0,0,0,0,0,0,1,0,0,0
Saša Kalajdžić,Wolves,FWD,14,1,1.0,0,0,0,0,0,2,0,0,0
Odsonne Édouard,Crystal Palace,FWD,2,1,1.0,0,0,0,0,0,1,0,0,0
Antoine Semenyo,Man City,MID,2516,172,6.1,15,6,8,46,0,206,6,0,17
Bruno B.Fernandes,Man Utd,MID,2255,166,6.4,7,14,4,36,0,224,3,0,31
Declan Rice,Arsenal,MID,2490,160,5.5,4,9,13,21,0,309,2,0,21
Harry Wilson,Fulham,MID,2086,140,5.2,9,8,6,31,0,139,6,0,19
Bruno Bruno G.,Newcastle,MID,2019,134,5.8,9,6,6,31,0,200,5,0,19
Elliot Anderson,Nott'm Forest,MID,2596,131,4.5,2,3,7,42,0,406,5,0,10
Morgan Rogers,Aston Villa,MID,2587,130,4.5,8,5,8,34,0,178,6,0,13
Bukayo Saka,Arsenal,MID,1905,130,5.0,6,8,9,16,0,156,1,0,14
James Garner,Everton,MID,2603,129,4.4,2,5,10,33,0,356,7,0,13
Carlos Henrique Casemiro,Man Utd,MID,1964,127,4.7,6,4,8,22,0,259,6,1,15
Enzo Enzo,Chelsea,MID,2397,125,4.5,8,4,8,31,0,200,8,0,14
Morgan Gibbs-White,Nott'm Forest,MID,2477,122,4.2,8,2,7,39,0,140,1,0,11
Ryan Gravenberch,Liverpool,MID,2338,119,4.4,4,5,9,31,0,246,5,0,13
Bryan Mbeumo,Man Utd,MID,2047,118,4.9,9,3,5,31,0,109,4,0,15
Martín Zubimendi,Arsenal,MID,2524,114,3.8,5,1,14,20,0,253,4,0,9
Anton Stach,Leeds,MID,1955,114,4.8,4,6,4,34,0,224,3,0,11
Kiernan Dewsbury-Hall,Everton,MID,1828,112,5.1,6,5,7,23,0,159,6,0,14
Phil Foden,Man City,MID,1792,111,4.4,7,3,10,16,0,133,4,0,10
Dominik Szoboszlai,Liverpool,MID,2422,109,4.0,4,3,8,38,0,253,6,1,15
Enzo E.Le Fée,Sunderland,MID,2295,107,3.8,4,4,8,31,0,246,5,0,8
Pedro Neto,Chelsea,MID,2138,106,3.8,5,5,11,21,0,103,2,1,8
Brenden Aaronson,Leeds,MID,1862,105,3.8,4,6,7,27,0,168,1,0,5
Mateus Gonçalo M.Fernandes,West Ham,MID,2213,104,3.9,3,3,5,39,0,282,5,0,6
Marcus Tavernier,Bournemouth,MID,1942,104,4.2,5,4,8,37,0,178,4,0,10
Matheus Cunha,Man Utd,MID,1897,103,4.0,6,3,6,26,0,158,1,0,10
Alex Scott,Bournemouth,MID,2128,101,3.5,2,2,8,34,0,279,3,0,6
Cody Gakpo,Liverpool,MID,1972,101,3.7,6,3,8,27,0,117,2,0,5
Iliman Ndiaye,Everton,MID,1973,100,4.3,5,3,7,27,0,216,2,0,5
Jaidon Anthony,Burnley,MID,1928,100,3.6,7,3,3,43,0,180,4,0,6
Florian Wirtz,Liverpool,MID,1850,100,4.0,4,3,8,23,0,133,1,0,16
Leandro Trossard,Arsenal,MID,1675,99,3.8,5,5,8,14,0,115,1,0,9
Rayan Cherki,Man City,MID,1267,99,4.1,3,9,6,13,0,115,1,0,12
Kevin Schade,Brentford,MID,2063,97,3.7,7,4,8,25,0,155,6,1,5
Dango O.Dango,Brentford,MID,1613,97,4.2,5,6,4,24,0,140,4,0,10
Mohamed M.Salah,Liverpool,MID,1792,96,4.6,5,6,6,31,0,82,1,0,7
Granit Xhaka,Sunderland,MID,2091,94,3.8,1,5,7,25,0,260,4,0,5
João Maria J.Palhinha,Spurs,MID,1774,94,3.6,3,3,4,32,0,244,6,0,11
Moisés Caicedo,Chelsea,MID,2044,93,3.9,3,1,6,29,0,290,8,1,10
Ethan Ampadu,Leeds,MID,2309,92,3.5,1,2,4,41,0,313,7,0,6
Crysencio Summerville,West Ham,MID,1856,92,3.8,5,3,5,34,0,163,4,0,10
Cole Palmer,Chelsea,MID,1236,92,5.1,9,2,3,18,0,95,4,0,9
Alex Iwobi,Fulham,MID,1952,91,4.0,4,3,3,36,0,144,2,0,13
Eberechi Eze,Arsenal,MID,1404,91,3.6,6,3,7,10,0,91,1,0,8
Adam Wharton,Crystal Palace,MID,2135,90,3.5,0,6,8,33,0,249,4,1,6
Ismaïla Sarr,Crystal Palace,MID,1636,90,4.7,7,1,8,19,0,111,2,0,9
João Victor J.Gomes,Wolves,MID,2207,85,3.0,1,1,4,41,0,312,9,0,4
Yankuba Minteh,Brighton,MID,1679,85,3.4,1,8,6,26,0,130,0,0,6
Mikkel Damsgaard,Brentford,MID,1495,85,3.4,3,4,3,25,0,168,0,0,6
Tijjani Reijnders,Man City,MID,1473,85,3.4,5,2,7,16,0,91,2,0,6
Yasin Ayari,Brighton,MID,1711,83,3.8,3,3,5,21,0,202,1,0,7
Lesley Ugochukwu,Burnley,MID,1893,81,2.9,3,2,3,41,0,182,1,1,5
Diego Gomez,Brighton,MID,1748,79,3.0,5,0,6,24,0,186,7,0,9
Jack Grealish,Everton,MID,1627,79,4.0,2,6,7,23,0,135,3,1,12
Emiliano Buendía,Aston Villa,MID,1355,79,2.9,5,2,3,16,0,145,5,0,8
Ryan Sessegnon,Fulham,MID,1605,78,3.5,2,3,4,29,0,188,0,0,5
Harvey Barnes,Newcastle,MID,1483,78,2.8,5,0,4,23,0,79,1,0,8
Anthony Gordon,Newcastle,MID,1550,77,3.3,4,4,6,29,0,76,3,1,4
Yehor Yarmoliuk,Brentford,MID,2014,76,2.6,1,2,5,33,0,253,7,0,0
Alexis Mac Allister,Liverpool,MID,1996,76,2.7,2,2,7,28,0,172,4,0,5
André André,Wolves,MID,2040,75,2.8,1,0,2,37,0,290,9,0,4
Mohammed Kudus,Spurs,MID,1535,75,3.9,2,6,7,20,0,133,3,0,7
Callum Hudson-Odoi,Nott'm Forest,MID,1634,74,2.7,3,2,5,25,0,97,0,0,6
Sander Berge,Fulham,MID,2422,73,2.5,0,2,5,41,0,242,4,0,3
Tomáš Souček,West Ham,MID,1416,73,2.8,4,2,4,33,0,148,2,1,6
Jérémy Doku,Man City,MID,1192,73,3.5,1,7,5,13,0,83,0,0,9
Bernardo Bernardo,Man City,MID,2168,72,2.5,1,4,9,23,0,191,8,0,1
Sandro Tonali,Newcastle,MID,2037,71,2.4,0,2,7,31,0,211,3,0,2
John McGinn,Aston Villa,MID,1591,71,3.2,3,2,7,21,0,126,3,0,4
Amad Amad,Man Utd,MID,1736,70,3.0,2,4,4,24,0,152,2,0,6
Josh Cullen,Burnley,MID,1513,70,3.9,2,2,3,29,0,173,2,0,8
Vitaly Janelt,Brentford,MID,1253,70,3.2,1,4,5,16,0,164,7,0,6
Georginio Georginio,Brighton,MID,1592,69,2.9,2,4,6,17,0,114,2,0,2
Lucas L.Paquetá,West Ham,MID,1513,69,3.8,4,2,3,33,0,146,5,1,8
Jordan Henderson,Brentford,MID,1634,68,2.5,1,3,5,24,0,156,4,0,5
Ibrahim Sangaré,Nott'm Forest,MID,1584,68,3.2,2,2,6,22,0,188,4,0,2
Noah Okafor,Leeds,MID,1266,67,2.9,4,2,4,24,0,87,3,0,3
Florentino Ibrain Florentino,Burnley,MID,1651,66,2.8,0,2,2,37,0,247,4,0,0
Mikel Merino,Arsenal,MID,996,66,3.1,4,3,4,9,0,111,1,0,5
Yéremy Yeremy,Crystal Palace,MID,1706,65,2.5,2,1,7,20,0,135,4,0,3
Mathias Jensen,Brentford,MID,1465,65,2.4,2,2,6,21,0,132,3,0,0
Mats Wieffer,Brighton,MID,1389,65,3.4,0,4,4,19,0,213,6,0,3
